URL,Title,Address
https://newyork.craigslist.org/wch/egr/6179808902.html,Junior Architect,Dobbs Ferry
https://newyork.craigslist.org/mnh/egr/6179738583.html,Junior Designer,SoHo
https://newyork.craigslist.org/brk/egr/6179469640.html,Junior Architect /  CAD Drafter,Brooklyn
https://newyork.craigslist.org/mnh/egr/6179377487.html,Attention Architecture/Engineering graduates with a bachelor degree,Midtown West
https://newyork.craigslist.org/mnh/egr/6179208506.html,ARCHITECTURAL INETRNSHIP,Battery Park
https://newyork.craigslist.org/que/egr/6179125438.html,Electrical estimator,Long Island City
https://newyork.craigslist.org/lgi/egr/6178540233.html,Draftsman,
https://newyork.craigslist.org/mnh/egr/6178521596.html,Architecture Project Manager,New York
https://newyork.craigslist.org/mnh/egr/6178483559.html,Project Architect,New York
https://newyork.craigslist.org/brk/egr/6178423703.html,Professional wanted,NYC
https://newyork.craigslist.org/mnh/egr/6178388611.html,Architect Intern,Financial District
https://newyork.craigslist.org/mnh/egr/6178379260.html,CNC operator,Long Island City
https://newyork.craigslist.org/brx/egr/6178374660.html,"On site Construction Project Manager, must be able to understand DRWGS","Bronx project, Queens office"
https://newyork.craigslist.org/fct/egr/6178291073.html,Field Technician/ Construction Inspector,Norwalk
https://newyork.craigslist.org/mnh/egr/6178146462.html,Intermediate Architect | Events Architecture | NYC Codes,Midtown
https://newyork.craigslist.org/mnh/egr/6177840705.html,Multi-Unit Construction Project Director (growing company),Manhattan
https://newyork.craigslist.org/stn/egr/6177627464.html,Architectural Project Manager,NYC / Staten Island
https://newyork.craigslist.org/brk/egr/6177437598.html,Construction Background Intermediate Level Architect Interior Design,
https://newyork.craigslist.org/que/egr/6177213642.html,Junior Electrical Estimator,Maspeth
https://newyork.craigslist.org/mnh/egr/6177105581.html,Interior Design Job Captain,Flatiron
https://newyork.craigslist.org/mnh/egr/6177104566.html,Interior Design Project Manager - Retail,Flatiron
https://newyork.craigslist.org/jsy/egr/6177096101.html,Interior Architecture Project Manager,Woodbridge
https://newyork.craigslist.org/jsy/egr/6177084728.html,Architecture Job Captain,Woodbridge
https://newyork.craigslist.org/jsy/egr/6177083151.html,Interior Architecture Senior Designer,Woodbridge
https://newyork.craigslist.org/jsy/egr/6177081614.html,Interior Design Senior Designer,Woodbridge
